"","ticker","tradeDate","clsPx","hiPx","loPx","open","stockVolume","unadjClsPx","unadjHiPx","unadjLoPx","unadjOpen","unadjStockVolume","updatedAt"
"4155","SPX",2022-07-07,3902.62,3910.63,3858.85,3858.85,0,3902.62,3910.63,3858.85,3858.85,0,"2022-07-07T23:27:48Z"
"4156","SPX",2022-07-08,3899.38,3918.5,3871.13,3888.26,0,3899.38,3918.5,3871.13,3888.26,0,"2022-07-08T23:26:03Z"
"4157","SPX",2022-07-11,3854.43,3880.94,3847.22,3880.94,0,3854.43,3880.94,3847.22,3880.94,0,"2022-07-11T23:25:31Z"
"4158","SPX",2022-07-12,3818.8,3873.41,3802.36,3851.95,0,3818.8,3873.41,3802.36,3851.95,0,"2022-07-12T23:25:40Z"
"4159","SPX",2022-07-13,3801.78,3829.44,3760.86,3779.67,0,3801.78,3829.44,3760.86,3779.67,0,"2022-07-13T23:26:28Z"
"4160","SPX",2022-07-14,3790.38,3796.41,3721.56,3763.99,0,3790.38,3796.41,3721.56,3763.99,0,"2022-07-14T23:26:44Z"
"4161","SPX",2022-07-15,3863.16,3863.62,3817.18,3818,0,3863.16,3863.62,3817.18,3818,0,"2022-07-15T23:26:36Z"
"4162","SPX",2022-07-18,3830.85,3902.44,3818.63,3883.79,0,3830.85,3902.44,3818.63,3883.79,0,"2022-07-18T23:27:12Z"
"4163","SPX",2022-07-19,3936.69,3939.81,3860.73,3860.73,0,3936.69,3939.81,3860.73,3860.73,0,"2022-07-19T23:26:26Z"
"4164","SPX",2022-07-20,3959.9,3974.13,3922.42,3935.32,0,3959.9,3974.13,3922.42,3935.32,0,"2022-07-20T23:27:25Z"
"4165","SPX",2022-07-21,3998.95,3999.29,3927.64,3955.47,0,3998.95,3999.29,3927.64,3955.47,0,"2022-07-21T23:27:09Z"
"4166","SPX",2022-07-22,3961.63,4012.44,3938.86,3998.43,0,3961.63,4012.44,3938.86,3998.43,0,"2022-07-22T23:27:19Z"
"4167","SPX",2022-07-25,3966.84,3975.3,3943.46,3965.72,0,3966.84,3975.3,3943.46,3965.72,0,"2022-07-25T23:26:53Z"
